Analyzing 378 Когда тьма со всех сторон (Душа моя так ждет Тебя).pdf...

Char   | Width    | Gap After 
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.2390
'E'      | 6.3245   | -
'[SPACE]' | 2.9290   | 0.0907
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
'E'      | 6.3245   | -
's'      | 3.3995   | -
'u'      | 4.5752   | -
's'      | 3.3995   | -
'4'      | 4.3196   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | 0.0665
'E'      | 6.3245   | 0.1555
'[SPACE]' | 2.9290   | -
'1'      | 7.1183   | -
'.'      | 3.5381   | -
'[SPACE]' | 3.1730   | -
'К'      | 7.6237   | -
'о'      | 7.3991   | -
'г'      | 4.8578   | -
'д'      | 7.8343   | -
'а'      | 6.7252   | -
'[SPACE]' | 3.1730   | -
'т'      | 5.4335   | -
'ь'      | 6.5988   | -
'м'      | 9.4910   | -
'а'      | 6.7252   | -
'[SPACE]' | 3.1730   | -
'с'      | 5.9389   | -
'о'      | 7.3991   | -
'[SPACE]' | 3.1730   | -
'в'      | 6.7252   | -
'с'      | 5.9389   | -
'е'      | 6.9919   | -
'х'      | 6.0793   | -
'[SPACE]' | 3.1730   | -
'с'      | 5.9389   | -
'т'      | 5.4335   | -
'о'      | 7.3991   | -
'р'      | 7.3710   | -
'о'      | 7.3991   | -
'н'      | 7.5114   | 0.0702
','      | 3.5100   | -
'[SPACE]' | 3.1730   | -
'с'      | 5.9389   | -
'е'      | 6.9919   | -
'р'      | 7.3710   | -
'д'      | 7.8343   | -
'ц'      | 7.6097   | -
'е'      | 6.9919   | -
'[SPACE]' | 3.1730   | -
'в'      | 6.7252   | -
'[SPACE]' | 3.1730   | -
'г'      | 4.8578   | -
'о'      | 7.3991   | -
'р'      | 7.3710   | -
'е'      | 6.9919   | -
'ч'      | 6.5847   | -
'и'      | 7.5956   | -
'[SPACE]' | 3.1730   | -
'т'      | 5.4335   | -
'и'      | 7.5956   | -
'с'      | 5.9389   | -
'к'      | 6.5146   | -
'а'      | 6.7252   | -
'х'      | 6.0793   | 0.0691
','      | 3.5100   | -
'[SPACE]' | 3.1730   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.1294
'E'      | 6.3245   | 0.1426
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | 0.0824
'[SPACE]' | 2.9290   | -
'E'      | 6.3245   | -
's'      | 3.3995   | -
'u'      | 4.5752   | 0.0937
's'      | 3.3995   | -
'4'      | 4.3196   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.1181
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0960
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
