
================================================================================
СТРАНИЦА 1
================================================================================
DEBUG_CHAR: char=' ', x0=412.63, y0=81.41, x1=418.52, y1=107.45, found_y=107.45
DEBUG_CHAR: char=' ', x0=85.10, y0=101.70, x1=94.63, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=94.63, y0=101.70, x1=104.17, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=104.06, y0=101.70, x1=113.59, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=113.63, y0=101.70, x1=123.16, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=123.16, y0=101.70, x1=132.69, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=132.69, y0=101.70, x1=142.22, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=142.22, y0=101.70, x1=151.75, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=151.75, y0=101.70, x1=161.28, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=161.28, y0=101.70, x1=170.81, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=170.81, y0=101.70, x1=180.34, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=180.34, y0=101.70, x1=189.88, y1=131.94, found_y=131.94
DEBUG_CHAR: char='G', x0=190.01, y0=101.70, x1=204.94, y1=131.94, found_y=131.94
DEBUG_CHAR: char='s', x0=205.01, y0=112.42, x1=212.08, y1=132.41, found_y=131.94
DEBUG_CHAR: char='u', x0=212.09, y0=112.42, x1=219.64, y1=132.41, found_y=131.94
DEBUG_CHAR: char='s', x0=219.65, y0=112.42, x1=226.72, y1=132.41, found_y=131.94
DEBUG_CHAR: char='4', x0=226.73, y0=112.42, x1=235.59, y1=132.41, found_y=131.94
DEBUG_CHAR: char=' ', x0=235.61, y0=101.70, x1=245.14, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=245.14, y0=101.70, x1=254.67, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=254.56, y0=101.70, x1=264.09, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=264.09, y0=101.70, x1=273.62, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=273.62, y0=101.70, x1=283.15, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=283.15, y0=101.70, x1=292.68, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=292.68, y0=101.70, x1=302.21, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=302.21, y0=101.70, x1=311.75, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=311.75, y0=101.70, x1=321.28, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=321.39, y0=101.70, x1=330.92, y1=131.94, found_y=131.94
DEBUG_CHAR: char='H', x0=330.91, y0=101.70, x1=347.78, y1=131.94, found_y=131.94
DEBUG_CHAR: char='7', x0=347.83, y0=101.70, x1=361.23, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=361.27, y0=101.70, x1=370.80, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=370.80, y0=101.70, x1=380.33, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=380.33, y0=101.70, x1=389.86, y1=131.94, found_y=131.94
DEBUG_CHAR: char='E', x0=389.83, y0=101.70, x1=403.55, y1=131.94, found_y=131.94
DEBUG_CHAR: char='m', x0=403.63, y0=101.70, x1=420.69, y1=131.94, found_y=131.94
DEBUG_CHAR: char=' ', x0=420.79, y0=101.70, x1=430.32, y1=131.94, found_y=131.94
DEBUG_CHAR: char='И', x0=85.10, y0=131.33, x1=101.82, y1=157.37, found_y=157.37
DEBUG_CHAR: char=' ', x0=101.82, y0=131.33, x1=107.71, y1=157.37, found_y=157.37
DEBUG_CHAR: char='п', x0=107.71, y0=131.33, x1=121.27, y1=157.37, found_y=157.37
DEBUG_CHAR: char='е', x0=121.27, y0=131.33, x1=134.24, y1=157.37, found_y=157.37
DEBUG_CHAR: char='т', x0=134.24, y0=131.33, x1=144.32, y1=157.37, found_y=157.37
DEBUG_CHAR: char='ь', x0=144.32, y0=131.33, x1=156.56, y1=157.37, found_y=157.37
DEBUG_CHAR: char=' ', x0=156.56, y0=131.33, x1=162.44, y1=157.37, found_y=157.37
DEBUG_CHAR: char='и', x0=162.44, y0=131.33, x1=176.53, y1=157.37, found_y=157.37
DEBUG_CHAR: char='м', x0=176.43, y0=131.33, x1=194.03, y1=157.37, found_y=157.37
DEBUG_CHAR: char='е', x0=194.03, y0=131.33, x1=207.00, y1=157.37, found_y=157.37
DEBUG_CHAR: char='н', x0=206.92, y0=131.33, x1=220.85, y1=157.37, found_y=157.37
DEBUG_CHAR: char='и', x0=220.85, y0=131.33, x1=234.94, y1=157.37, found_y=157.37
DEBUG_CHAR: char=' ', x0=234.94, y0=131.33, x1=240.82, y1=157.37, found_y=157.37
DEBUG_CHAR: char='Т', x0=240.82, y0=131.33, x1=253.50, y1=157.37, found_y=157.37
DEBUG_CHAR: char='в', x0=253.50, y0=131.33, x1=265.98, y1=157.37, found_y=157.37
DEBUG_CHAR: char='о', x0=265.98, y0=131.33, x1=279.70, y1=157.37, found_y=157.37
DEBUG_CHAR: char='е', x0=279.70, y0=131.33, x1=292.67, y1=157.37, found_y=157.37
DEBUG_CHAR: char='м', x0=292.67, y0=131.33, x1=310.27, y1=157.37, found_y=157.37
DEBUG_CHAR: char='у', x0=310.27, y0=131.33, x1=322.07, y1=157.37, found_y=157.37
DEBUG_CHAR: char=',', x0=322.07, y0=131.33, x1=328.58, y1=157.37, found_y=157.37
DEBUG_CHAR: char=' ', x0=328.37, y0=131.33, x1=334.25, y1=157.37, found_y=157.37
DEBUG_CHAR: char='С', x0=334.25, y0=131.33, x1=348.13, y1=157.37, found_y=157.37
DEBUG_CHAR: char='п', x0=348.13, y0=131.33, x1=361.70, y1=157.37, found_y=157.37
DEBUG_CHAR: char='а', x0=361.70, y0=131.33, x1=374.17, y1=157.37, found_y=157.37
DEBUG_CHAR: char='с', x0=374.17, y0=131.33, x1=385.19, y1=157.37, found_y=157.37
